"lag_seconds","rows_"
"-720685.070","7"
"255830.930","7"
"159959.660","7"
"143708.920","7"
"141153.920","7"
"80650.370","7"
"262978.930","7"
"73790.920","7"
"81277.920","7"
"69363.280","7"
"87456.280","7"
"75987.920","7"
"171258.660","7"
"256643.930","7"
"137077.260","7"
"149128.260","7"
"155279.920","7"
"135593.920","7"
"150634.370","7"
"90686.920","7"
"173536.660","7"
"135745.920","7"
"171322.660","7"
"78873.280","7"
"242917.930","7"
"76767.280","7"
"265538.930","7"
"146966.920","7"
"129351.920","7"
"222401.660","7"
"136459.260","7"
"70274.920","7"
"147637.370","7"
"250642.930","7"
"71352.920","7"
"163392.660","7"
"154402.920","7"
"79484.370","7"
"79566.370","7"
"142043.260","7"
"78016.370","7"
"130603.260","7"
"90607.260","7"
"269118.930","7"
"91706.260","7"
"177775.660","7"
"88322.260","7"
"223146.660","7"
"148513.920","7"
"87483.260","7"
"141281.370","7"
"156221.660","7"
"257978.930","7"
"94117.920","7"
"93163.920","7"
"136843.920","7"
"251310.930","7"
"246159.930","7"
"144821.920","7"
"242792.930","7"
"78103.260","7"
"225144.660","7"
"92527.920","7"
"309613.930","7"
"317466.930","7"
"70298.920","7"
"126720.370","7"
"229065.660","7"
"81534.920","7"
"70216.260","7"
"163219.660","7"
"138230.370","7"
"251100.930","7"
"91259.920","7"
"129545.370","7"
"147505.920","7"
"245725.930","7"
"141355.260","7"
"229560.660","7"
"309949.930","7"
"138665.260","7"
"76092.260","7"
"72997.370","7"
"83845.920","7"
"231825.660","7"
"146075.260","7"
"175277.660","7"
"256446.930","7"
"152036.370","7"
"237452.660","7"
"130785.370","7"
"151868.920","7"
"152588.260","7"
"164069.660","7"
"74962.280","7"
"167375.660","7"
"131385.920","7"
"79029.370","7"
"136535.920","7"
"207556.660","7"
"305807.930","7"
"72041.920","7"
"162395.660","7"
"101499.260","7"
"318774.930","7"
"69119.280","7"
"70561.370","7"
"72239.260","7"
"164543.660","7"
"309892.930","7"
"166786.660","7"
"322517.930","7"
"127226.370","7"
"262109.930","7"
"241936.930","7"
"69623.920","7"
"257520.930","7"
"130216.920","7"
"171050.660","7"
"92586.260","7"
"80091.920","7"
"70594.260","7"
"69164.920","7"
"144338.920","7"
"79021.920","7"
"307295.930","7"
"91524.260","7"
"74149.280","7"
"73263.260","7"
"260584.930","7"
"146638.370","7"
"140994.260","7"
"79505.370","7"
"153965.260","7"
"87791.370","7"
"89012.920","7"
"219352.660","7"
"147971.260","7"
"162014.660","7"
"147102.260","7"
"169114.660","7"
"236706.660","7"
"143173.260","7"
"241706.930","7"
